Account UUID,Billing Account Name,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
9633abb0-7c4f-0135-cb89-0242ac11570b,Marketing Moves,-2.0,0.0,-2.0,2.0
6765b590-ba41-0134-db6f-0242ac113508,,2.0,0.0,2.0,2.0
f68f8ff2-7c76-46e8-8fec-8b8088de8ff3,East of LA Inc.,-2.0,0.0,-2.0,2.0
72bbd170-5615-47e0-9768-6bbfbcee0c28,White Summers Caffee & James LLP,1.0,0.0,1.0,1.0
b203715d-9cc6-437b-be40-e88044838eaa,DeadSoxy,4.0,5.0,-1.0,1.0
728b707b-577a-4e5f-988c-4d7d70513f8b,,5.0,0.0,5.0,5.0
fedd41d5-227e-4f2f-85d4-0c3877d90eaa,Arris,8.0,0.0,8.0,8.0
b5872fed-e1b2-452a-b54c-d1d1c3935749,,6.0,0.0,6.0,6.0
e74eb6d8-76d5-43d4-b0fe-6164c1ca72b3,富士フイルム株式会社,0.0,152.0,-152.0,152.0
94ac4ad4-0aec-4b55-bd3c-758050549330,ROKT (UK) Ltd,-4.0,0.0,-4.0,4.0
2a4a8223-6923-4a4f-be64-a6b4095f7776,,-1.0,0.0,-1.0,1.0
064d3ffd-1416-4922-acce-afd61d802445,Civis Analytics,-21.0,0.0,-21.0,21.0
c12fee60-45ba-0134-88c4-5217bc62becc,,1.0,0.0,1.0,1.0
4462e86a-5374-4f2e-a6d0-e271606572e0,Big Blue Door,-2.0,0.0,-2.0,2.0
52a04800-6746-0136-e508-0242ac115709,上海壹氪创意设计有限公司,1.0,29.0,-28.0,28.0
a8593da0-709d-0135-0804-0242ac116707,,5.0,0.0,5.0,5.0
3972fb88-fea0-46f6-8542-5fb3cf5db28e,,1.0,0.0,1.0,1.0
dca89bcb-0047-4376-af81-95cb4c07a710,,-1.0,0.0,-1.0,1.0
c105e220-e275-0135-431e-0242ac114a09,Recruta Simples,1.0,0.0,1.0,1.0
8fcb5390-c7a2-4661-a990-335b840817b7,Mercer Advisors,4.0,0.0,4.0,4.0
426e0a5e-00c0-428d-beb0-25482ec0497a,Michael Feldman,2.0,1.0,1.0,1.0
