Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,sf_opportunity_id,reservation_uuid,reservation_created,Reason,how did we deduce this?,how do we identify this?
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,there was no use of the canel prior move in ,"salesforce shows cancel contract on the original opportunity with the original contract, and then has anotherv opportunity for the new contract. ",
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,NewOpportunity,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,NewOpportunity,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,NewOpportunity,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,NewOpportunity,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,NewOpportunity,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Sent,NewOpportunity,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,a0e21bde-fdcd-4bf5-80e7-ae1b22bee5f1,MDA2MEcwMDAwMHVmc2U1UUFB,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,bad150ae-b6d3-47c1-8ec0-966b579a9191,6/6/18 7:15,,,
8319d72a-e861-4830-8b76-be2395afe7c7,0,1,-1,1,Contract Signed,OpportunityExists,4dcec9d8-6194-4f92-80c2-13ceb350356a,MDA2MEcwMDAwMHVndHJ4,e82cae07-e66b-47ec-beea-c6056427bc14,6/7/18 7:06,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,7edb2069-40dc-4d5c-bc0d-ef1913bc932a,MDA2MEcwMDAwMHVnRVF6,3f75dfc2-b36e-438c-83ef-29d530ecf041,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,508e0cf3-10db-42c5-a356-063df6d7611e,MDA2MEcwMDAwMHZpMHlr,3f75dfc2-b36e-438c-83ef-29d530ecf041,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,75a78e01-b69c-436a-a03d-1d36412c87aa,MDA2MEcwMDAwMHVnRVF6,0fd6b00c-2d88-4c6c-91c6-2a178a89d295,11/23/17 14:42,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,7edb2069-40dc-4d5c-bc0d-ef1913bc932a,MDA2MEcwMDAwMHVnRVF6,0fd6b00c-2d88-4c6c-91c6-2a178a89d295,11/23/17 14:42,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,7edb2069-40dc-4d5c-bc0d-ef1913bc932a,MDA2MEcwMDAwMHVnRVF6,0cc3e69c-a66a-404f-b661-da023f474fc5,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,508e0cf3-10db-42c5-a356-063df6d7611e,MDA2MEcwMDAwMHZpMHlr,0cc3e69c-a66a-404f-b661-da023f474fc5,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,NewOpportunity,508e0cf3-10db-42c5-a356-063df6d7611e,MDA2MEcwMDAwMHZpMHlr,5d68dc86-00cd-4e26-8fc9-6f9cb35ae896,6/11/18 9:59,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,MostRecentOpenOpportunity,7edb2069-40dc-4d5c-bc0d-ef1913bc932a,MDA2MEcwMDAwMHVnRVF6,3f75dfc2-b36e-438c-83ef-29d530ecf041,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,MostRecentOpenOpportunity,508e0cf3-10db-42c5-a356-063df6d7611e,MDA2MEcwMDAwMHZpMHlr,3f75dfc2-b36e-438c-83ef-29d530ecf041,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,MostRecentOpenOpportunity,75a78e01-b69c-436a-a03d-1d36412c87aa,MDA2MEcwMDAwMHVnRVF6,0fd6b00c-2d88-4c6c-91c6-2a178a89d295,11/23/17 14:42,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,MostRecentOpenOpportunity,7edb2069-40dc-4d5c-bc0d-ef1913bc932a,MDA2MEcwMDAwMHVnRVF6,0fd6b00c-2d88-4c6c-91c6-2a178a89d295,11/23/17 14:42,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,MostRecentOpenOpportunity,7edb2069-40dc-4d5c-bc0d-ef1913bc932a,MDA2MEcwMDAwMHVnRVF6,0cc3e69c-a66a-404f-b661-da023f474fc5,6/8/18 10:05,,,
a9de6851-8f0b-4b3a-9d78-445d601d8023,4,10,-6,6,Contract Sent,MostRecentOpenOpportunity,508e0cf3-10db-42c5-a356-063df6d7611e,MDA2MEcwMDAwMHZpMHlr,0cc3e69c-a66a-404f-b661-da023f474fc5,6/8/18 10:05,,,
