Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,ma_created,sf_opportunity_id,reservation_uuid,reservation_created,reservation_started_on,reservation_ended_on,reservable
5ffb7ac1-da47-41df-aa7a-cfa660634f7c,1.0,0.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
5ffb7ac1-da47-41df-aa7a-cfa660634f7c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,,,,,,,,
3835c5bf-1c06-42fb-a063-074d38c3ca57,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,f3ef9eac-cdb9-4a3f-99f6-71ff375a8abf,2018-07-05 02:18:56.268,MDA2MEcwMDAwMHZqa2t3UUFB,9e4f2c2c-5b0f-4810-b09b-1d725103dc67,2018-07-05 10:59:02.971,2018-08-01,,DD - 13
3835c5bf-1c06-42fb-a063-074d38c3ca57,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,f3ef9eac-cdb9-4a3f-99f6-71ff375a8abf,2018-07-05 02:18:56.268,MDA2MEcwMDAwMHZqa2t3UUFB,9e4f2c2c-5b0f-4810-b09b-1d725103dc67,2018-07-05 10:59:02.971,2018-08-01,,DD - 13
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,b5f7b80f-1f27-4825-9dda-b7f4343c2085,2018-07-05 10:43:47.189,MDA2MEcwMDAwMHVnVktB,86ebac11-b8a9-4fa7-a564-d59950fe2e55,2018-07-05 12:44:05.882,2018-07-06,,02-116
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Signed,OpportunityFoundById,4b27ea1a-0019-447d-9291-57a3c6a1a79c,2018-07-06 08:08:48.766,MDA2MEcwMDAwMHZqeU5B,c999d241-ee8e-43c9-8b2a-a3bee663fe74,2018-07-06 08:18:19.847,2018-09-01,,01-130
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Signed,OpportunityFoundById,b5f7b80f-1f27-4825-9dda-b7f4343c2085,2018-07-05 10:43:47.189,MDA2MEcwMDAwMHVnVktB,86ebac11-b8a9-4fa7-a564-d59950fe2e55,2018-07-05 12:44:05.882,2018-07-06,,02-116
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,4b27ea1a-0019-447d-9291-57a3c6a1a79c,2018-07-06 08:08:48.766,MDA2MEcwMDAwMHZqeU5B,c999d241-ee8e-43c9-8b2a-a3bee663fe74,2018-07-06 08:18:19.847,2018-09-01,,01-130
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Voided,OpportunityFoundById,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,NoReusableOpportunityFound,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,,,,,,,,
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,,,,,,,,
5e8e9270-550f-0136-0668-0242ac11670d,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,eb7a975d-5227-4549-8b73-d40a20595aea,2018-07-02 06:31:05.212,MDA2MEcwMDAwMHZqa2dH,b8e95afd-7b33-4bf5-a5d0-98c7b0f9c9fe,2018-07-02 06:39:41.637,2018-07-02,,HD174
