Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
1663cf70-dc3b-0134-4ec4-0242ac112c0a,-2.0,0.0,-2.0,2.0
aa606d60-0d86-0135-e4fa-0242ac114706,-1.0,0.0,-1.0,1.0
d74ec272-e35e-441b-9b6b-521083714cd2,-3.0,0.0,-3.0,3.0
569a98a0-fafa-0135-3cd8-0242ac115108,0.0,8.0,-8.0,8.0
41573c30-8251-0130-f786-123138068411,-6.0,0.0,-6.0,6.0
affded60-07d0-0136-66c1-0242ac112c0c,-12.0,0.0,-12.0,12.0
7c47184d-bf0a-4003-bb07-4d7640371f05,-1.0,0.0,-1.0,1.0
28d5c1b6-b2b5-4bd7-9e3c-46d848214445,-6.0,0.0,-6.0,6.0
74f31884-90e0-4b68-81f6-afe1c6ad5e85,-3.0,0.0,-3.0,3.0
b3d00120-1e7f-0135-969e-0242ac113d09,-3.0,0.0,-3.0,3.0
94e2dee0-5da1-41fb-8450-3e31953b8d4d,0.0,6.0,-6.0,6.0
94e2dee0-5da1-41fb-8450-3e31953b8d4d,0.0,0.0,0.0,0.0
41ff1604-52cb-41a0-b39b-b38ec46526b1,-1.0,0.0,-1.0,1.0
09384db0-b5cb-0135-f000-0242ac115606,-6.0,0.0,-6.0,6.0
87c387c0-a389-0134-cea3-72766fc5ebea,-4.0,0.0,-4.0,4.0
2e01f4c3-147f-47c4-8f1a-c18ec2415863,-4.0,0.0,-4.0,4.0
b308c68e-3b23-46ea-95c7-7258a5bfe713,-16.0,21.0,-37.0,37.0
b308c68e-3b23-46ea-95c7-7258a5bfe713,-16.0,0.0,-16.0,16.0
b308c68e-3b23-46ea-95c7-7258a5bfe713,5.0,21.0,-16.0,16.0
b308c68e-3b23-46ea-95c7-7258a5bfe713,5.0,0.0,5.0,5.0
4789ab9e-25cd-4e5c-87b2-485362a1f4da,-46.0,0.0,-46.0,46.0
140bbd56-f2b1-4bff-b0ed-242ef7b488e1,-2.0,0.0,-2.0,2.0
0480466c-0d04-41e1-93ba-dcee1d2b38f8,-2.0,0.0,-2.0,2.0
41dceb15-4241-4518-8e88-51d484404744,-1.0,0.0,-1.0,1.0
7884cb68-a824-48b4-8361-80c142f143c7,-1.0,0.0,-1.0,1.0
87a70990-db65-0134-4d16-0242ac112c0a,-70.0,0.0,-70.0,70.0
017192bc-ae49-4c2d-824c-c96814946ec6,-12.0,0.0,-12.0,12.0
931a0878-b77a-46d7-884d-55de759acb0e,0.0,50.0,-50.0,50.0
fd10f351-70ae-4f7c-abdd-0ccff2633c82,-3.0,0.0,-3.0,3.0
