Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
6ddefc40-ab8e-0135-90f1-0242ac115108,1.0,4.0,-3.0,3.0,Contract Signed,OpportunityExists,0a722507-20a8-4c76-afea-81044586921e
6ddefc40-ab8e-0135-90f1-0242ac115108,1.0,4.0,-3.0,3.0,Contract Signed,OpportunityExists,0a722507-20a8-4c76-afea-81044586921e
6ddefc40-ab8e-0135-90f1-0242ac115108,1.0,4.0,-3.0,3.0,Contract Sent,MostRecentOpenOpportunity,0a722507-20a8-4c76-afea-81044586921e
6ddefc40-ab8e-0135-90f1-0242ac115108,1.0,4.0,-3.0,3.0,Contract Discarded,OpportunityExists,ad4b8165-5115-41f2-b9e8-fe27451541ed
6ddefc40-ab8e-0135-90f1-0242ac115108,1.0,4.0,-3.0,3.0,Contract Sent,MostRecentOpenOpportunity,ad4b8165-5115-41f2-b9e8-fe27451541ed
95fbc4e0-45b8-0136-e689-0242ac115109,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityExists,0ec9c08a-4e85-4b06-8b33-e6a0912bffc7
95fbc4e0-45b8-0136-e689-0242ac115109,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityExists,0ec9c08a-4e85-4b06-8b33-e6a0912bffc7
95fbc4e0-45b8-0136-e689-0242ac115109,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityExists,0ec9c08a-4e85-4b06-8b33-e6a0912bffc7
272b2fcb-6172-477d-9dc0-e526df7317f3,0.0,2.0,-2.0,2.0,Contract Discarded,NoOpportunityFound,5601aaa4-a7cb-4784-811e-dce2855dde01
ff4ca5bd-3be0-4a92-868f-e4639546e62f,2.0,1.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
756acf0a-07df-49a0-81f0-df08356d6e15,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
70ab39d0-42be-0136-35a0-0242ac112106,0.0,62.0,-62.0,62.0,Contract Signed,OpportunityExists,794762df-6671-4682-8d93-a16b63a6143c
70ab39d0-42be-0136-35a0-0242ac112106,0.0,62.0,-62.0,62.0,Contract Signed,OpportunityExists,794762df-6671-4682-8d93-a16b63a6143c
70ab39d0-42be-0136-35a0-0242ac112106,0.0,62.0,-62.0,62.0,Contract Sent,OpportunityExists,794762df-6671-4682-8d93-a16b63a6143c
70ab39d0-42be-0136-35a0-0242ac112106,0.0,62.0,-62.0,62.0,Contract Sent,OpportunityExists,222c29d7-22e1-4d63-8747-f7c427c8f1a4
70ab39d0-42be-0136-35a0-0242ac112106,0.0,62.0,-62.0,62.0,Contract Discarded,OpportunityExists,222c29d7-22e1-4d63-8747-f7c427c8f1a4
b3ac2e60-8aa7-0134-514e-1af6366eb87d,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityExists,2ba37e4c-351d-49f6-b31f-1473ea65c8f9
b3ac2e60-8aa7-0134-514e-1af6366eb87d,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityExists,2ba37e4c-351d-49f6-b31f-1473ea65c8f9
