Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
ecea3660-cb14-4e63-bdd1-b7844646832a,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,cef5db6b-8423-49ed-aeb9-ef34cfd15972
ecea3660-cb14-4e63-bdd1-b7844646832a,0.0,1.0,-1.0,1.0,Contract Discarded,NoReusableOpportunityFound,989cdb66-b961-4f5d-9a06-448d6d3c1fb0
ecea3660-cb14-4e63-bdd1-b7844646832a,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,cef5db6b-8423-49ed-aeb9-ef34cfd15972
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Discarded,OpportunityFoundById,84365bf0-a43c-46ae-86a4-46f286aa807e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,84365bf0-a43c-46ae-86a4-46f286aa807e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,e60e1158-e2a2-4c85-a184-cd56e15d3ca9
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Discarded,OpportunityFoundById,e60e1158-e2a2-4c85-a184-cd56e15d3ca9
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Discarded,OpportunityFoundById,e75ea64a-3d81-48f7-94c3-8e4c2e258a19
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,ee9d59dd-6720-42ff-b027-4c65b1246632
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,e75ea64a-3d81-48f7-94c3-8e4c2e258a19
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,ee9d59dd-6720-42ff-b027-4c65b1246632
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,f235492e-f4d9-4d6b-b7af-07a83cd6df3e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,4.0,0.0,4.0,4.0,Contract Sent,NoReusableOpportunityFound,f235492e-f4d9-4d6b-b7af-07a83cd6df3e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Discarded,OpportunityFoundById,84365bf0-a43c-46ae-86a4-46f286aa807e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityFoundById,84365bf0-a43c-46ae-86a4-46f286aa807e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityFoundById,e60e1158-e2a2-4c85-a184-cd56e15d3ca9
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Discarded,OpportunityFoundById,e60e1158-e2a2-4c85-a184-cd56e15d3ca9
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Discarded,OpportunityFoundById,e75ea64a-3d81-48f7-94c3-8e4c2e258a19
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,ee9d59dd-6720-42ff-b027-4c65b1246632
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityFoundById,e75ea64a-3d81-48f7-94c3-8e4c2e258a19
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityFoundById,ee9d59dd-6720-42ff-b027-4c65b1246632
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,f235492e-f4d9-4d6b-b7af-07a83cd6df3e
7bc338f5-ffcc-4e06-8155-ab2ad8afb68a,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,f235492e-f4d9-4d6b-b7af-07a83cd6df3e
14905d87-185b-4886-b678-bce213d83096,11.0,0.0,11.0,11.0,Contract Sent,NoReusableOpportunityFound,fc056fa9-ac16-46f1-97c0-453891673147
14905d87-185b-4886-b678-bce213d83096,11.0,0.0,11.0,11.0,Contract Signed,OpportunityFoundById,fc056fa9-ac16-46f1-97c0-453891673147
14905d87-185b-4886-b678-bce213d83096,11.0,0.0,11.0,11.0,Contract Voided,OpportunityFoundById,fc056fa9-ac16-46f1-97c0-453891673147
14905d87-185b-4886-b678-bce213d83096,11.0,0.0,11.0,11.0,Contract Sent,OpportunityFoundById,fc056fa9-ac16-46f1-97c0-453891673147
14905d87-185b-4886-b678-bce213d83096,11.0,0.0,11.0,11.0,Contract Sent,OpportunityFoundById,fc056fa9-ac16-46f1-97c0-453891673147
87c387c0-a389-0134-cea3-72766fc5ebea,-4.0,0.0,-4.0,4.0,Contract Voided,OpportunityFoundById,ed894ff5-52c3-4d6f-ad26-60771e2b94fb
87c387c0-a389-0134-cea3-72766fc5ebea,-4.0,0.0,-4.0,4.0,Contract Sent,MostRecentOpenOpportunity,6a723d74-e853-4b32-a192-a1e2ce3d32d5
87c387c0-a389-0134-cea3-72766fc5ebea,-4.0,0.0,-4.0,4.0,Contract Signed,OpportunityFoundById,6a723d74-e853-4b32-a192-a1e2ce3d32d5
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,77f56611-1987-492c-8e3c-b9c4e171f55f
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Voided,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Sent,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Sent,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,77f56611-1987-492c-8e3c-b9c4e171f55f
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Voided,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Sent,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
8ee1cb1c-6e17-430f-b307-6ff835bf2a96,-1.0,0.0,-1.0,1.0,Contract Sent,OpportunityFoundById,2f246e90-a513-44ca-b17b-05207f168afd
f7c12f1c-7e06-4a0c-b83c-e37170b37f0b,0.0,5.0,-5.0,5.0,Contract Signed,OpportunityFoundById,d36e570d-9541-486c-bf23-10fc401fd25c
f7c12f1c-7e06-4a0c-b83c-e37170b37f0b,0.0,5.0,-5.0,5.0,Contract Signed,OpportunityFoundById,d36e570d-9541-486c-bf23-10fc401fd25c
922ef020-6085-0136-220a-0242ac115705,0.0,1.0,-1.0,1.0,Contract Sent,OpportunityFoundById,b7733d06-c625-4e01-8051-07a1690d4138
922ef020-6085-0136-220a-0242ac115705,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,b7733d06-c625-4e01-8051-07a1690d4138
922ef020-6085-0136-220a-0242ac115705,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,d715f154-761c-4eb5-a7f3-d4a3804078ea
922ef020-6085-0136-220a-0242ac115705,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,d715f154-761c-4eb5-a7f3-d4a3804078ea
922ef020-6085-0136-220a-0242ac115705,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,b7733d06-c625-4e01-8051-07a1690d4138
922ef020-6085-0136-220a-0242ac115705,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,b7733d06-c625-4e01-8051-07a1690d4138
922ef020-6085-0136-220a-0242ac115705,1.0,0.0,1.0,1.0,Contract Sent,NoReusableOpportunityFound,d715f154-761c-4eb5-a7f3-d4a3804078ea
922ef020-6085-0136-220a-0242ac115705,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,d715f154-761c-4eb5-a7f3-d4a3804078ea
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Signed,NoReusableOpportunityFound,01393087-519a-44cd-a54c-948af156bd00
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Signed,NoReusableOpportunityFound,01393087-519a-44cd-a54c-948af156bd00
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundByMembershipAgreement,01393087-519a-44cd-a54c-948af156bd00
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Sent,MostRecentOpenOpportunity,6d970055-973d-437d-97dd-bd8906120974
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,6d970055-973d-437d-97dd-bd8906120974
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Discarded,OpportunityFoundById,a32477e8-4211-428e-8c2a-f4a0fcc1d8e8
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0,Contract Discarded,OpportunityFoundById,d2c2dabe-4436-4ace-b0a7-9bdf1a007206
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Voided,OpportunityFoundById,ec1e6d95-47f5-4c6b-8ca8-0f4aaa03df68
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Voided,OpportunityFoundById,582c3b53-d31a-47b0-8408-b3b5feae055f
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,61186fe5-a1c0-4d99-bac7-b2d697ead15a
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,61186fe5-a1c0-4d99-bac7-b2d697ead15a
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Sent,MostRecentOpenOpportunity,21814c30-084e-44a5-bd04-947ecd2b8805
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,d28f0641-7133-4abe-a14d-9eaa9ee283b3
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,21814c30-084e-44a5-bd04-947ecd2b8805
660dc586-ff67-4ccd-a8e4-127b14c17ceb,0.0,2.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,d28f0641-7133-4abe-a14d-9eaa9ee283b3
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Voided,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Discarded,OpportunityFoundById,4da6858b-b883-4946-97c5-cf8520cfb064
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,e0c2a493-31bc-4581-bd0c-d4aae42be68b
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Sent,MostRecentOpenOpportunity,1d891623-2ee9-4305-b981-df9db507549a
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Voided,OpportunityFoundById,4da6858b-b883-4946-97c5-cf8520cfb064
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Voided,OpportunityFoundById,55d73a56-ebc8-4c99-8c5e-62046bbed048
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,1d891623-2ee9-4305-b981-df9db507549a
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Sent,MostRecentOpenOpportunity,e0c2a493-31bc-4581-bd0c-d4aae42be68b
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Discarded,OpportunityFoundById,55d73a56-ebc8-4c99-8c5e-62046bbed048
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,63da28f8-b38d-43bd-b692-1e2baca1c8bb
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,63da28f8-b38d-43bd-b692-1e2baca1c8bb
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,2.0,-2.0,2.0,Contract Canceled,OpportunityFoundById,c7132c8c-9350-4f75-b6f5-529ffb0c8441
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Voided,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Discarded,OpportunityFoundById,4da6858b-b883-4946-97c5-cf8520cfb064
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Signed,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Sent,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Sent,OpportunityFoundById,647131c0-f9fc-4ae7-89ce-9b0c0d36298c
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Signed,OpportunityFoundById,e0c2a493-31bc-4581-bd0c-d4aae42be68b
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Sent,MostRecentOpenOpportunity,1d891623-2ee9-4305-b981-df9db507549a
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Voided,OpportunityFoundById,4da6858b-b883-4946-97c5-cf8520cfb064
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Voided,OpportunityFoundById,55d73a56-ebc8-4c99-8c5e-62046bbed048
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Signed,OpportunityFoundById,1d891623-2ee9-4305-b981-df9db507549a
c71f2348-7e43-4d8b-8282-b93e41afaf57,0.0,14.0,-14.0,14.0,Contract Sent,MostRecentOpenOpportunity,e0c2a493-31bc-4581-bd0c-d4aae42be68b
