Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
7fb26bd1-37d2-4266-87bd-2b8b0bfd6f7b,-1.0,0.0,-1.0,1.0
486105b0-23bc-0136-8990-0242ac112c08,-1.0,0.0,-1.0,1.0
ce90e5e0-2941-0136-bb90-0242ac111c09,-1.0,0.0,-1.0,1.0
34c59250-edc2-0135-6174-0242ac115108,-1.0,0.0,-1.0,1.0
ff16c683-90f2-45bb-b238-a60e100a45d1,-3.0,0.0,-3.0,3.0
765d1ae7-11bd-413f-8967-875e5b56ed99,-3.0,0.0,-3.0,3.0
8fad10ef-8a23-40dd-8783-6a3a1553de0a,-1.0,0.0,-1.0,1.0
e331f670-9a12-0135-081b-0242ac116705,-1.0,0.0,-1.0,1.0
45f37ab9-35fe-4c36-9c20-ac03a382b3ff,-1.0,0.0,-1.0,1.0
3836de83-1023-47f1-8b33-50d131ef08ce,-1.0,0.0,-1.0,1.0
c455e63c-9c87-41c7-bc18-b728389276c3,-1.0,0.0,-1.0,1.0
4fff5dc5-bbd6-42a9-8c6a-3cc1107be4f5,-1.0,0.0,-1.0,1.0
806801f1-645d-4658-b965-40f251609794,-1.0,0.0,-1.0,1.0
f47e84c3-3a5a-48ea-9a79-c08a6efb14b6,-1.0,0.0,-1.0,1.0
b702aee0-d5bc-0135-578e-0242ac112c0c,-1.0,0.0,-1.0,1.0
a847d6b7-ab15-4f0b-ae33-5df02ec36dfe,-3.0,0.0,-3.0,3.0
8310c0c0-2cd4-0136-5508-0242ac115609,-1.0,0.0,-1.0,1.0
76a51bf0-14ef-0136-259f-0242ac112c09,-1.0,0.0,-1.0,1.0
6e98a8c0-d7d1-0135-4c41-0242ac115107,-1.0,0.0,-1.0,1.0
2cd0f260-2aef-0136-2270-0242ac11510c,-1.0,0.0,-1.0,1.0
f283e870-99b3-0135-e18b-0242ac112c08,-1.0,0.0,-1.0,1.0
bdcd7ced-7820-4cbc-a169-0d4d1734e007,-1.0,0.0,-1.0,1.0
31343731-3238-4393-a338-313531383134,-1.0,0.0,-1.0,1.0
5f7c41b0-51c3-4313-9e61-8204100bfbf9,-1.0,0.0,-1.0,1.0
5c0ee340-a655-0135-1771-0242ac111508,-1.0,0.0,-1.0,1.0
785649e6-dd22-4b1f-92f3-76a03cf794a3,-1.0,0.0,-1.0,1.0
8fe2ae00-92b4-4edd-8782-6c5f4b7cddf0,-23.0,0.0,-23.0,23.0
052dbb6e-100f-4115-b7de-781aed8b7d93,-1.0,0.0,-1.0,1.0
c336f035-25e7-4087-80ab-b23855cfa44a,-1.0,0.0,-1.0,1.0
516905e0-a2d0-0134-c991-2e9c7d9bf85c,-1.0,0.0,-1.0,1.0
c3f62db2-143a-426f-b9f5-5abb4f990ba7,-1.0,0.0,-1.0,1.0
47da5c30-8d1a-0135-906f-0242ac116713,-5.0,0.0,-5.0,5.0
4b6861ac-ee77-426f-a0e1-bf7e75ad03f5,-1.0,0.0,-1.0,1.0
5c1f6f07-dd3d-4f7f-8962-53b342dbb560,-1.0,0.0,-1.0,1.0
2b2b79d9-8150-4024-90ef-b8f2ab4ef049,-1.0,0.0,-1.0,1.0
87f52e50-90d8-0135-f18d-0242ac112c08,-1.0,0.0,-1.0,1.0
a741d272-7c04-47e0-8cb8-78000121a8bd,-1.0,0.0,-1.0,1.0
c2004520-c61d-0135-c98e-0242ac112109,-1.0,0.0,-1.0,1.0
6ba4fc8e-8e4b-4be7-a5b8-f0c0e32a05ff,-1.0,0.0,-1.0,1.0
c9aef938-1453-46e5-81b1-db0e5ff7fbe0,-1.0,0.0,-1.0,1.0
62705562-2b65-4c33-b42b-be1864447678,-1.0,0.0,-1.0,1.0
5507fe50-b5af-0135-7611-0242ac116705,-1.0,0.0,-1.0,1.0
6472efb9-f687-4b60-b404-e216f4c3c78e,-1.0,0.0,-1.0,1.0
0594eb75-d463-4317-9cf1-53b62bbdc468,-1.0,0.0,-1.0,1.0
167393f6-dff2-4a49-846a-a7b2d5e1d2b6,-1.0,0.0,-1.0,1.0
3ba7ef6b-ee3b-4f26-8422-2ba70166630f,-1.0,0.0,-1.0,1.0
c721cda9-1eeb-4390-bdfe-025e8b7c9a69,-1.0,0.0,-1.0,1.0
3e9efa40-5361-0134-dffd-22d04439b8db,-2.0,0.0,-2.0,2.0
169ecbb5-b223-4014-9a8e-db13bdd54702,-1.0,0.0,-1.0,1.0
069ceb60-ef50-0135-ae46-0242ac111c07,-2.0,0.0,-2.0,2.0
6028e6b7-d12e-4724-9abb-d1b22c3e7170,-1.0,0.0,-1.0,1.0
7a25e4ea-2116-47af-b7da-b19a48d33e12,-1.0,-36.0,35.0,35.0
ca8a8f27-c650-438e-bdde-fd2e3ffb60e4,-1.0,0.0,-1.0,1.0
16a4af10-1e6d-0136-cccb-0242ac11150f,-1.0,0.0,-1.0,1.0
9ac6c8ff-d95e-4980-9e18-deb673cb4a6a,-1.0,0.0,-1.0,1.0
7d33c3ca-866e-4531-ad67-6a9f72a378ac,-1.0,0.0,-1.0,1.0
f4677a20-d471-0135-c7fd-0242ac111c08,-1.0,0.0,-1.0,1.0
92db141c-880c-4896-a38e-8d94b6c6685c,-1.0,0.0,-1.0,1.0
f6759e12-2335-4b79-86cc-b48a9a6a65b3,-1.0,0.0,-1.0,1.0
6e89e020-e117-0134-7e57-0242ac113509,-4.0,0.0,-4.0,4.0
f0dd9f70-6b08-0135-4fe0-0242ac112c0e,-1.0,0.0,-1.0,1.0
c73e01f0-c325-0135-015d-0242ac112c0c,-5.0,0.0,-5.0,5.0
01430bfb-c1b0-458f-b5ac-dddce9378865,-1.0,0.0,-1.0,1.0
8dfc0110-7c06-0135-45b5-0242ac115608,-2.0,0.0,-2.0,2.0
e2714cea-b029-4671-9103-336fdf864400,-30.0,0.0,-30.0,30.0
74e76354-0d90-4d36-9569-3c5312189e0c,-1.0,0.0,-1.0,1.0
7330eb01-6258-48e9-bd3e-2e22395f71a6,-1.0,0.0,-1.0,1.0
41bfc75f-b37a-4893-be0e-ab7c66dd7526,-1.0,0.0,-1.0,1.0
933429b0-080d-0136-671b-0242ac112c0c,-1.0,0.0,-1.0,1.0
a8d59160-1cd1-0136-e5f7-0242ac112c08,-1.0,0.0,-1.0,1.0
fa08e580-1069-0136-b886-0242ac11570b,-1.0,0.0,-1.0,1.0
7d28f356-39d9-4a70-a605-0c5c4e146ce3,-1.0,0.0,-1.0,1.0
c6592827-f487-4113-89a9-912691bdac6a,-1.0,0.0,-1.0,1.0
,24.0,0.0,24.0,24.0
63c47ea0-ecb8-0135-200c-0242ac111511,-1.0,0.0,-1.0,1.0
fc8dc368-5fce-4c8b-b411-c12f2f2d00b6,-1.0,0.0,-1.0,1.0
38a362b0-a03a-0135-f136-0242ac116707,-1.0,0.0,-1.0,1.0
7e0add80-f3fc-41d5-97dc-712f9927a023,-1.0,0.0,-1.0,1.0
d1b99e91-1ec0-4e95-bf03-fe1fdaf82c47,-1.0,0.0,-1.0,1.0
c4f4e2f0-c412-4fc0-9811-16fc24d7db41,-1.0,0.0,-1.0,1.0
a59706f7-c833-4fc0-b6d3-65cf1d872993,-1.0,0.0,-1.0,1.0
d4e718b3-8691-4068-9405-5f0425c21d37,-1.0,0.0,-1.0,1.0
60fdd2cc-b4db-483a-9c66-3fad8c67286c,-1.0,0.0,-1.0,1.0
30a0f690-fd74-0135-8517-0242ac116709,-1.0,0.0,-1.0,1.0
6e557867-cb5c-4ec9-808a-cd9e1af52be4,-2.0,0.0,-2.0,2.0
c95a1343-b551-43ca-a246-8b92b21cebef,-1.0,0.0,-1.0,1.0
90229a47-dfe2-4f15-a815-acdb2143c056,-1.0,0.0,-1.0,1.0
f5ea5792-d12d-47f7-8b0c-fcb69b5ccbde,-1.0,0.0,-1.0,1.0
24042672-ad39-42e5-9713-3e014bc648fb,-1.0,0.0,-1.0,1.0
a052a930-f2d1-0135-c662-0242ac11510b,-1.0,0.0,-1.0,1.0
f6472d1c-17db-4306-bfe0-c1093a7d677c,-2.0,0.0,-2.0,2.0
9cafccc5-3ba2-455d-835d-edcdd0d45af7,-1.0,0.0,-1.0,1.0
d819672b-e074-4a3f-bddc-abb95fdee20a,-1.0,0.0,-1.0,1.0
dd55d67d-0a63-4cee-8430-8351301812c1,-1.0,0.0,-1.0,1.0
ae928f37-4d98-4adf-93d6-d6b4841022b8,-1.0,0.0,-1.0,1.0
a84eb080-5855-0135-09da-0242ac112607,-8.0,0.0,-8.0,8.0
87b81f97-6355-4ad4-8199-b8a390aeb060,0.0,1.0,-1.0,1.0
397cf377-5e7d-4fb6-9df7-d725d32402ef,-1.0,0.0,-1.0,1.0
8d8de990-2aec-0136-9918-0242ac115709,-1.0,0.0,-1.0,1.0
e275a490-15ab-0136-2730-0242ac112c09,-1.0,0.0,-1.0,1.0
0cb2c9c7-dc0c-4f6b-bc63-6e058725e515,-1.0,0.0,-1.0,1.0
0b351b40-d20b-0135-f543-0242ac114a09,-1.0,0.0,-1.0,1.0
1d4de7c0-f3b3-0135-9191-0242ac111c07,-1.0,0.0,-1.0,1.0
7f818430-a448-0135-8051-0242ac116705,-1.0,0.0,-1.0,1.0
d77c43cc-dc74-4543-98ef-e7fb70bcf00d,-1.0,0.0,-1.0,1.0
0655b076-163f-4373-b9e4-506b31005d5a,-2.0,0.0,-2.0,2.0
e7d231c0-0d9f-0136-c93d-0242ac112109,-1.0,0.0,-1.0,1.0
c6c8217b-31f4-4b1a-95f4-e8b2bfb83ae2,-1.0,0.0,-1.0,1.0
79b78041-69c1-4b11-a3c0-efae3e8c54de,-1.0,0.0,-1.0,1.0
38c8cd52-d23d-4352-b291-2ff1c712870d,-1.0,0.0,-1.0,1.0
d97f186e-a2e3-4173-9b7c-72f8958c99f2,-1.0,0.0,-1.0,1.0
7f27bcdd-bfa3-4fb7-8b60-3d59e41663eb,-1.0,0.0,-1.0,1.0
51c10d26-fa0f-400a-bcc7-31675248fbf4,-1.0,0.0,-1.0,1.0
ee569bf1-c03d-494f-80ca-171b2ae9b572,-1.0,0.0,-1.0,1.0
b96bfeb4-44a6-4410-96aa-9a111beb3978,-1.0,0.0,-1.0,1.0
bdb3b0ae-185c-4dba-a91e-d478b53cc44b,-1.0,0.0,-1.0,1.0
92e6ba90-8bb8-0135-8bac-0242ac116713,-1.0,0.0,-1.0,1.0
8fccf1b5-ac9b-4f99-8d5c-181eea9ed25d,-1.0,0.0,-1.0,1.0
03d55810-1f90-0136-5b42-0242ac115109,-1.0,0.0,-1.0,1.0
548981cb-6a3a-4c8e-b8f1-5bb4f21c8953,-1.0,0.0,-1.0,1.0
27d151d0-20e6-0135-0d17-0242ac115b0d,-2.0,0.0,-2.0,2.0
43e2284e-c12b-46bf-8a53-28ce7371ca25,-4.0,0.0,-4.0,4.0
1f38ac47-499b-43d0-b6f8-ab793f7e375d,-2.0,0.0,-2.0,2.0
b6202c91-b30b-4c5e-9a69-da1a1efdd765,-1.0,0.0,-1.0,1.0
9a7aa7f0-d9f4-0134-03c4-0242ac112c07,-2.0,0.0,-2.0,2.0
6df7d020-fadb-460e-95bf-34413fc3738b,-100.0,0.0,-100.0,100.0
3410f1b9-f88d-4425-b6fd-261bc71348f7,-2.0,0.0,-2.0,2.0
851f1020-6fd5-0135-5808-0242ac112c0e,-68.0,-113.0,45.0,45.0
95a9e077-868e-4f05-93cd-2478ee91e817,-1.0,0.0,-1.0,1.0
45706026-e9ec-4ad2-8454-dc365bc86704,-1.0,0.0,-1.0,1.0
d6d9a160-5255-42a6-b19a-f35e59e6f5ff,-1.0,0.0,-1.0,1.0
258d6f20-20d8-0136-5e7a-0242ac115109,-1.0,0.0,-1.0,1.0
e443be00-3623-4b0d-a246-09e00aba1026,-1.0,0.0,-1.0,1.0
0a737283-edc8-4138-be88-31fe8cdf5558,-1.0,0.0,-1.0,1.0
4130e5ed-6fdd-4edf-987c-3b7beecbf80f,-1.0,0.0,-1.0,1.0
