Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
5ffb7ac1-da47-41df-aa7a-cfa660634f7c,1.0,0.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
5ffb7ac1-da47-41df-aa7a-cfa660634f7c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
3835c5bf-1c06-42fb-a063-074d38c3ca57,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,f3ef9eac-cdb9-4a3f-99f6-71ff375a8abf
3835c5bf-1c06-42fb-a063-074d38c3ca57,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,f3ef9eac-cdb9-4a3f-99f6-71ff375a8abf
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,3aafd1fa-b58b-489d-bc95-7a1974831ce3
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,b5f7b80f-1f27-4825-9dda-b7f4343c2085
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Signed,OpportunityFoundById,4b27ea1a-0019-447d-9291-57a3c6a1a79c
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Signed,OpportunityFoundById,b5f7b80f-1f27-4825-9dda-b7f4343c2085
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,6dd8400c-b642-4fb9-9155-a7dc5998708c
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,4b27ea1a-0019-447d-9291-57a3c6a1a79c
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,6dd8400c-b642-4fb9-9155-a7dc5998708c
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,e294eec2-0b51-44db-bd3d-cdbbf6030b7e
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,328682bc-483c-44c0-953a-c8d22bbc7e2a
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Voided,OpportunityFoundById,3aafd1fa-b58b-489d-bc95-7a1974831ce3
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,NoReusableOpportunityFound,328682bc-483c-44c0-953a-c8d22bbc7e2a
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Sent,MostRecentOpenOpportunity,3aafd1fa-b58b-489d-bc95-7a1974831ce3
5dff6497-ccc8-4381-bebb-c76a2eb2b1b1,9.0,0.0,9.0,9.0,Contract Discarded,OpportunityFoundById,e294eec2-0b51-44db-bd3d-cdbbf6030b7e
5e8e9270-550f-0136-0668-0242ac11670d,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,eb7a975d-5227-4549-8b73-d40a20595aea
5e8e9270-550f-0136-0668-0242ac11670d,1.0,0.0,1.0,1.0,Contract Sent,NoReusableOpportunityFound,eb7a975d-5227-4549-8b73-d40a20595aea
8d045fcc-5df7-4949-a969-d2923ad84595,2.0,0.0,2.0,2.0,Contract Signed,OpportunityFoundById,5772f562-4c2d-4030-a29b-2b080d15bbc1
8d045fcc-5df7-4949-a969-d2923ad84595,2.0,0.0,2.0,2.0,Contract Signed,OpportunityFoundById,535e8289-d9bd-40ba-a7f8-b55cccd77a10
2cc1fda0-73d4-4367-9fef-c9b7be427065,1.0,0.0,1.0,1.0,Contract Voided,OpportunityFoundById,82cfc741-2859-4a1a-8424-d22554d7cadc
2cc1fda0-73d4-4367-9fef-c9b7be427065,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,82cfc741-2859-4a1a-8424-d22554d7cadc
2cc1fda0-73d4-4367-9fef-c9b7be427065,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,82cfc741-2859-4a1a-8424-d22554d7cadc
