parent_account_c,net_desks_closedwon,date
0010G00002CE0EuQAL,0.0,2018-08-03
0010G00002GCjENQA1,2.0,2018-08-24
0010G00002J9JArQAN,2.0,2018-08-20
0010G00002CE9t0QAD,0.0,2018-08-31
0010G00002JAsMeQAL,3.0,2018-08-09
0010G00002CDvN9QAL,0.0,2018-08-27
0010G00002JCf93QAD,3.0,2018-08-24
0010G00002Et3BHQAZ,3.0,2018-08-31
0010G00002I7qGaQAJ,1.0,2018-08-01
0010G00002JCZj1QAH,2.0,2018-08-20
0010G00002CECmXQAX,4.0,2018-08-22
0010G00002CDfpFQAT,3.0,2018-08-27
0010G00002JcksdQAB,52.0,2018-08-29
0010G00002J9m4GQAR,2.0,2018-08-30
0010G00002JAlssQAD,1.0,2018-08-30
0010G00002J9ERhQAN,4.0,2018-08-06
0010G00002JBr2EQAT,1.0,2018-08-24
0010G00002JCe4MQAT,1.0,2018-08-27
0010G00002CDenHQAT,0.0,2018-08-08
0010G00002I7PgoQAF,4.0,2018-08-01
0010G00002J99wTQAR,18.0,2018-08-31
0010G00002HnNQsQAN,32.0,2018-08-31
0010G00002CDl9hQAD,12.0,2018-08-23
0010G00002CDz6yQAD,4.0,2018-08-08
0010G00002CDbDuQAL,0.0,2018-08-28
0010G00002JcYIIQA3,2.0,2018-08-28
0010G00002JBroNQAT,15.0,2018-08-10
0010G00002CDxGTQA1,0.0,2018-08-29
0010G00002CEAvKQAX,66.0,2018-08-06
0010G00002CDvUuQAL,1.0,2018-08-02
0010G00002CDc4RQAT,11.0,2018-08-10
0010G00002CDgF3QAL,2.0,2018-08-22
0010G00002JcWdnQAF,1.0,2018-08-28
0010G00002GD3bqQAD,1.0,2018-08-16
0010G00002JCWs0QAH,6.0,2018-08-28
0010G00002HnQGxQAN,0.0,2018-08-28
0010G00002I7qCjQAJ,1.0,2018-08-29
0010G00002JCVMoQAP,8.0,2018-08-23
0010G00002JCRNaQAP,1.0,2018-08-24
0010G00002CDrmBQAT,2.0,2018-08-24
0010G00002CEBNmQAP,143.0,2018-08-08
0010G00002JC4cYQAT,2.0,2018-08-14
0010G00002CDzIoQAL,8.0,2018-08-27
0010G00002J9sEsQAJ,1.0,2018-08-07
0010G00002CEGKdQAP,0.0,2018-08-13
0010G00002I7QXAQA3,1.0,2018-08-01
0010G00002I7q9uQAB,1.0,2018-08-01
0010G00002JBvdMQAT,1.0,2018-08-10
0010G00002GD7DsQAL,0.0,2018-08-21
0010G00002JcX9ZQAV,1.0,2018-08-31
0010G00002Fzza6QAB,2.0,2018-08-07
0010G00002CECNxQAP,11.0,2018-08-02
0010G00002I7QO6QAN,69.0,2018-08-22
0010G00002JCqygQAD,1.0,2018-08-23
0010G00002I7QUNQA3,3.0,2018-08-14
0010G00002CED1qQAH,2.0,2018-08-17
0010G00002CE4F7QAL,0.0,2018-08-29
0010G00002I7qBaQAJ,2.0,2018-08-28
0010G00002J9KyWQAV,4.0,2018-08-22
0010G00002CE2EeQAL,9.0,2018-08-07
0010G00002JCrlIQAT,4.0,2018-08-30
0010G00002JcvMwQAJ,4.0,2018-08-31
0010G00002CE0vXQAT,3.0,2018-08-14
0010G00002JCvpZQAT,1.0,2018-08-31
0010G00002I7yv9QAB,24.0,2018-08-31
0010G00002CDchAQAT,0.0,2018-08-29
0010G00002JcXUSQA3,4.0,2018-08-27
0010G00002CDp5JQAT,0.0,2018-08-17
0010G00002FzzrPQAR,52.0,2018-08-24
0010G00002CE4BNQA1,0.0,2018-08-07
0010G00002JBqujQAD,1.0,2018-08-31
0010G00002I7qI7QAJ,12.0,2018-08-02
0010G00002FzzbwQAB,0.0,2018-08-28
0010G00002I7qJ1QAJ,0.0,2018-08-07
0010G00002CDtPxQAL,56.0,2018-08-30
0010G00002J9Ms2QAF,1.0,2018-08-14
0010G00002JC5EuQAL,1.0,2018-08-23
0010G00002JBmIGQA1,2.0,2018-08-09
0010G00002I7QZ0QAN,0.0,2018-08-30
0010G00002CDp5uQAD,3.0,2018-08-23
0010G00002I7qJvQAJ,3.0,2018-08-02
0010G00002CEAt6QAH,68.0,2018-08-30
0010G00002JAXX8QAP,1700.0,2018-08-27
0010G00002JBf3JQAT,1.0,2018-08-09
0010G00002J9pAcQAJ,8.0,2018-08-29
0010G00002CE71gQAD,0.0,2018-08-10
0010G00002CEEfHQAX,21.0,2018-08-29
0010G00002JCaNYQA1,1.0,2018-08-20
0010G00002JCA3PQAX,2.0,2018-08-24
0010G00002JAiucQAD,10.0,2018-08-28
0010G00002J9KxDQAV,2.0,2018-08-29
0010G00002I7qImQAJ,1.0,2018-08-01
0010G00002J9GQ0QAN,4.0,2018-08-20
0010G00002J9A5uQAF,4.0,2018-08-21
0010G00002CEG2EQAX,2.0,2018-08-28
0010G00002CDeFDQA1,56.0,2018-08-30
0010G00002CDkoBQAT,0.0,2018-08-13
0010G00002GCiVQQA1,2.0,2018-08-31
0010G00002CEBqyQAH,40.0,2018-08-06
0010G00002JcWTOQA3,4.0,2018-08-27
0010G00002JcchQQAR,6.0,2018-08-28
0010G00002CDul8QAD,6.0,2018-08-31
0010G00002JBd6RQAT,1.0,2018-08-24
0010G00002J9loOQAR,9.0,2018-08-24
0010G00002CDc5yQAD,27.0,2018-08-23
0010G00002JcmGRQAZ,17.0,2018-08-31
0010G00002JCqQFQA1,1.0,2018-08-24
0010G00002CDgSlQAL,18.0,2018-08-27
0010G00002CDdSlQAL,0.0,2018-08-01
0010G00002CDZcUQAX,0.0,2018-08-23
0010G00002CE40lQAD,0.0,2018-08-30
0010G00002JcmsyQAB,12.0,2018-08-30
0010G00002CEBtAQAX,3.0,2018-08-14
0010G00002J99feQAB,6.0,2018-08-31
0010G00002I7qJTQAZ,1.0,2018-08-01
0010G00002CDhlsQAD,0.0,2018-08-03
0010G00002JA4r8QAD,1.0,2018-08-17
0010G00002JBuRBQA1,1.0,2018-08-10
0010G00002CE72eQAD,2.0,2018-08-13
0010G00002JBusSQAT,2.0,2018-08-22
0010G00002I7qAgQAJ,6.0,2018-08-23
0010G00002CEEGuQAP,0.0,2018-08-01
0010G00002CDhfdQAD,18.0,2018-08-10
0010G00002CE3FpQAL,0.0,2018-08-21
0010G00002I7QgIQAV,4.0,2018-08-07
0010G00002CDjgzQAD,10.0,2018-08-24
0010G00002CEGEfQAP,88.0,2018-08-10
0010G00002JcchzQAB,6.0,2018-08-28
0010G00002FUFKuQAP,12.0,2018-08-02
0010G00002I7qGIQAZ,2.0,2018-08-02
0010G00002GCiWGQA1,0.0,2018-08-15
0010G00002CDZPpQAP,0.0,2018-08-15
0010G00002GCj6LQAT,5.0,2018-08-02
0010G00002CE9dfQAD,0.0,2018-08-27
0010G00002JBrBuQAL,2.0,2018-08-16
0010G00002CEAWPQA5,0.0,2018-08-21
0010G00002CDopTQAT,0.0,2018-08-01
0010G00002CDd8IQAT,0.0,2018-08-01
0010G00002CDiGrQAL,0.0,2018-08-29
0010G00002CEJB7QAP,0.0,2018-08-30
0010G00002CDmcnQAD,1.0,2018-08-27
0010G00002CEGhqQAH,0.0,2018-08-30
0010G00002J9qSyQAJ,4.0,2018-08-27
0010G00002CDe3UQAT,17.0,2018-08-11
0010G00002JA4JAQA1,1.0,2018-08-01
0010G00002CDkupQAD,2.0,2018-08-09
0010G00002CE7czQAD,6.0,2018-08-28
0010G00002CEAJzQAP,0.0,2018-08-07
0010G00002CDczpQAD,35.0,2018-08-27
0010G00002CE0M4QAL,0.0,2018-08-06
0010G00002CDwPbQAL,1.0,2018-08-09
0010G00002CEG3XQAX,0.0,2018-08-06
0010G00002HnPEBQA3,1.0,2018-08-21
0010G00002CDsCFQA1,0.0,2018-08-30
0010G00002CDoaYQAT,0.0,2018-08-20
0010G00002JCvsEQAT,25.0,2018-08-24
0010G00002J95uEQAR,6.0,2018-08-20
0010G00002JAwtWQAT,1180.0,2018-08-07
0010G00002CDd0gQAD,12.0,2018-08-17
0010G00002CECKNQA5,5.0,2018-08-21
0010G00002CE7tfQAD,16.0,2018-08-30
0010G00002I7qJGQAZ,1.0,2018-08-01
0010G00002GD7EbQAL,10.0,2018-08-27
0010G00002CDjwEQAT,8.0,2018-08-28
0010G00002CE7zHQAT,1.0,2018-08-31
0010G00002HnN3xQAF,14.0,2018-08-10
0010G00002FyGWBQA3,2.0,2018-08-29
0010G00002I7PpZQAV,1.0,2018-08-03
0010G00002JBeJbQAL,1.0,2018-08-29
0010G00002I4awmQAB,11.0,2018-08-02
0010G00002JATFSQA5,1.0,2018-08-24
0010G00002I7q4DQAR,6.0,2018-08-03
0010G00002I7q8oQAB,1.0,2018-08-02
0010G00002CDbpiQAD,3.0,2018-08-03
0010G00002J99ecQAB,12.0,2018-08-30
0010G00002JAEoyQAH,277.0,2018-08-16
0010G00002JBeE2QAL,1.0,2018-08-27
0010G00002CDci0QAD,54.0,2018-08-06
0010G00002CDwQSQA1,0.0,2018-08-30
0010G00002FySaRQAV,4.0,2018-08-28
0010G00002CEI77QAH,110.0,2018-08-29
0010G00002CDZRqQAP,264.0,2018-08-11
0010G00002J93aGQAR,10.0,2018-08-31
0010G00002CE1nvQAD,0.0,2018-08-07
0010G00002JCbj1QAD,2.0,2018-08-22
0010G00002CE6dnQAD,0.0,2018-08-30
0010G00002HnNjcQAF,4.0,2018-08-27
0010G00002CE1vwQAD,6.0,2018-08-24
0010G00002JC4WaQAL,7.0,2018-08-13
0010G00002FyGFGQA3,24.0,2018-08-24
0010G00002JAXX8QAP,7480.0,2018-08-07
0010G00002CE68gQAD,8.0,2018-08-01
0010G00002JBkk0QAD,2.0,2018-08-10
0010G00002CDaxTQAT,30.0,2018-08-07
0010G00002CE0dPQAT,160.0,2018-08-28
0010G00002I7q7hQAB,16.0,2018-08-07
0010G00002I7qGjQAJ,1.0,2018-08-01
0010G00002J9UPXQA3,21.0,2018-08-21
0010G00002CDoViQAL,9.0,2018-08-31
0010G00002I7qCfQAJ,1.0,2018-08-02
0010G00002JAtyeQAD,1.0,2018-08-08
0010G00002JCkwmQAD,2.0,2018-08-23
0010G00002CDi0OQAT,0.0,2018-08-08
0010G00002FyGmoQAF,4.0,2018-08-08
0010G00002JcizOQAR,7.0,2018-08-31
0010G00002CDvKgQAL,2.0,2018-08-28
0010G00002CECl7QAH,0.0,2018-08-08
0010G00002CDpRNQA1,3.0,2018-08-01
0010G00002CEASQQA5,177.0,2018-08-24
0010G00002J9MztQAF,4.0,2018-08-29
0010G00002JCAFzQAP,8.0,2018-08-27
0010G00002CDcIeQAL,4.0,2018-08-09
0010G00002CEAFSQA5,0.0,2018-08-10
0010G00002CDpWOQA1,0.0,2018-08-09
