Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
1cc1431e-d1e3-43b6-8d20-82efe7e51544,0.0,8.0,-8.0,8.0,Contract Sent,OpportunityFoundById,a15bf1ef-98cd-41d5-9147-457bc8a8d834
1cc1431e-d1e3-43b6-8d20-82efe7e51544,0.0,8.0,-8.0,8.0,Contract Signed,OpportunityFoundById,a15bf1ef-98cd-41d5-9147-457bc8a8d834
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Sent,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Sent,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,367eca9d-b2ca-492a-9f2e-95e53ad33e30
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Voided,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,367eca9d-b2ca-492a-9f2e-95e53ad33e30
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,1.0,-1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Sent,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,367eca9d-b2ca-492a-9f2e-95e53ad33e30
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Voided,OpportunityFoundById,92691091-2304-4c81-9928-039db5de5dad
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,367eca9d-b2ca-492a-9f2e-95e53ad33e30
3b272036-c2c6-44ad-8d33-db7adc4f3b38,0.0,4.0,-4.0,4.0,Contract Canceled,FoundByReservationIDInPast,
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Discarded,OpportunityFoundById,dfde806c-c689-4ab8-8c99-9d49a73c7197
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,21d44e21-5dbc-4296-863c-732aa6bce53d
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,efe76792-c0ef-4d17-8e9b-6ac115b4e105
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Sent,OpportunityFoundById,efe76792-c0ef-4d17-8e9b-6ac115b4e105
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Voided,OpportunityFoundById,21d44e21-5dbc-4296-863c-732aa6bce53d
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,8e5e3f37-bb8c-4792-96c3-b85988dce079
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Voided,OpportunityFoundById,21d44e21-5dbc-4296-863c-732aa6bce53d
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Discarded,OpportunityFoundById,21d44e21-5dbc-4296-863c-732aa6bce53d
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityFoundById,8e5e3f37-bb8c-4792-96c3-b85988dce079
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,21d44e21-5dbc-4296-863c-732aa6bce53d
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,21d44e21-5dbc-4296-863c-732aa6bce53d
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Voided,OpportunityFoundById,dfde806c-c689-4ab8-8c99-9d49a73c7197
8b59e9e0-140c-0136-23d6-0242ac111c08,0.0,1.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,21d44e21-5dbc-4296-863c-732aa6bce53d
