,id,uuid,created_at,updated_at,started_on,ended_on,office_num,reservable_id,reservable_type,account_id,reservable_uuid,account_uuid,move_in_type,move_out_type,type,location_id,parent_id,one_time,quantity,archived_at,canceled_at,ended_on_updated_at,move_out_reason,prepaid_duration,prepaid_action,prepaid_ended_on,prepaid_invoice_id,prepaid_payment_id,entity_published_at,notes,gave_notice,start_event_published_at,foreign_reference_id,escalation_date,annual_escalator_rate,_fivetran_synced,description,price
0,600866990,3a27819a-b8d0-46ab-9981-8a12699f67b4,2018-04-02 06:49:45.201,2018-04-02 06:49:45.201,2018-04-02,2018-04-02,,20,Resource,107488,fbd93ac0-8e96-0130-e5b8-160ad023c11e,10e25794-f87d-49bc-b76f-e53252d202bb,,,Reservation,249,,True,1.00,,,2018-04-02 06:49:45.185,,,,,,,,broken,,,,,,2018-06-15 23:08:28.764,,35.00
1,600871045,001d5233-025d-4183-af2a-5458db6a51bc,2018-04-03 08:59:14.629,2018-05-22 07:25:12.450,2018-04-16,,,500001289,Space,141746,9c14bca7-5ba5-45c9-a5a5-e5b7abb8deeb,87ef6ee6-23c2-4bb5-b3c8-01fbf756e2a2,Move In,,PrimaryReservation,107,,False,1.00,,,2018-05-22 07:25:12.413,,,,,,,2018-05-22 07:25:12.450,,,2018-04-16 00:00:27.300,,2019-05-01,0.04,2018-06-15 23:08:28.796,05-115,6600.00
2,600867168,17e9aa76-18d6-4303-9168-d6bbb56fcd4b,2018-04-02 08:50:44.774,2018-04-02 08:50:44.774,2018-06-01,,,600020480,Space,139037,eb320920-f3ca-4b7e-bfe6-9e924acd927c,8e764e56-33fc-4e25-8351-138e890abdcf,Move In,,PrimaryReservation,282,,False,1.00,,,,,,,,,,2018-04-02 08:50:44.774,,,2018-06-01 00:16:09.245,,,,2018-06-15 23:14:20.549,13B108,48900.00
3,600867449,21815dd2-7794-48a4-bf44-01c911a71c71,2018-04-02 12:58:04.696,2018-04-02 12:58:04.696,2018-04-02,2018-04-02,,20,Resource,123992,fbd93ac0-8e96-0130-e5b8-160ad023c11e,65b770f3-428a-43a1-87fb-ecfec47821fe,,,Reservation,222,,True,1.00,,,2018-04-02 12:58:04.671,,,,,,,,,,,,,,2018-06-15 23:13:42.746,,25.00
4,600870141,eb5515bb-c2c3-470a-bcfc-495933874799,2018-04-02 23:07:14.400,2018-04-02 23:07:14.400,2018-07-01,2018-07-31,,14,Resource,119848,fbbfc870-8e96-0130-e5b8-160ad023c11e,29d4c70a-5a75-4bc2-86f1-d3feb6d62f93,,,DiscountReservation,137,,False,1.00,,,2018-04-02 23:07:14.388,,,,,,,2018-04-02 23:07:14.400,,,,,,,2018-06-15 23:13:42.903,,-9325.00
5,600872061,5a06a2f5-1673-4e6e-a7b3-38c677b7979b,2018-04-03 15:04:56.278,2018-04-24 14:36:33.792,2018-05-01,2018-05-31,,14,Resource,119732,fbbfc870-8e96-0130-e5b8-160ad023c11e,749f90c0-cbb9-0135-4b69-0242ac112c0c,,Move Out,DiscountReservation,6,,False,1.00,,,2018-04-03 15:04:56.265,,,,,,,2018-04-24 14:36:33.792,,,,,,,2018-06-15 23:13:42.997,,-137.00
6,600868677,8bcc849c-2fe6-4e88-b8ad-1ca497add00d,2018-04-02 17:31:59.922,2018-04-11 16:48:27.870,2018-04-13,2018-04-13,,16,Resource,137500,fbc78740-8e96-0130-e5b8-160ad023c11e,c8f73bf1-cc16-4ac1-bc06-be57db2d410d,,,Reservation,93,600868675.0,True,1.00,2018-04-11 16:48:27.840000,,2018-04-02 17:31:59.901,,,,,,,,,,,,,,2018-06-15 23:13:42.819,,100.00
7,600869557,a1cdd28f-2da8-477b-90d5-7d8e2a698312,2018-04-02 21:02:22.888,2018-04-02 21:02:22.888,2018-04-15,2018-04-15,,16,Resource,141632,fbc78740-8e96-0130-e5b8-160ad023c11e,2b3ceee3-43f9-4770-be68-62b2f4eea0e2,,,Reservation,53,600869555.0,True,1.00,,,2018-04-02 21:02:22.876,,,,,,,,,,,,,,2018-06-15 23:13:42.869,,100.00
8,600873865,ce2e99fc-be9b-48ab-8ee8-49748c0f7edc,2018-04-03 22:27:10.383,2018-04-03 22:27:10.383,2018-05-01,,,600016873,Space,137810,17fea7e7-500f-459a-8f6b-c2101d1d4318,5bf6f3d0-f8cf-0135-a041-0242ac116709,Move In,,PrimaryReservation,192,,False,1.00,,,,,,,,,,2018-04-03 22:27:10.383,,,2018-05-01 00:10:05.213,,2019-05-01,0.03,2018-06-15 23:13:43.097,04-150,9650.00
9,600871746,dc81b47b-492a-42a5-8564-d9649acef8af,2018-04-03 13:54:09.444,2018-04-03 13:54:09.444,2018-06-01,2018-06-30,,14,Resource,141801,fbbfc870-8e96-0130-e5b8-160ad023c11e,1bd57ad1-bcb1-4634-ad7d-bcff1ec3dd40,,,DiscountReservation,25,,False,1.00,,,2018-04-03 13:54:09.433,,,,,,,2018-04-03 13:54:09.444,,,,,,,2018-06-15 23:13:42.974,,-337.00
10,600872349,98b882d0-c962-4100-90d7-0cedc922dfe9,2018-04-03 15:40:37.419,2018-04-03 15:40:37.419,2018-04-03,2018-04-03,,81,Resource,134878,ec270444-1ab1-42b2-8def-69c612655e01,2fa31c80-ac5a-0135-9941-0242ac111506,,,Reservation,92,600768641.0,True,,,,2018-04-03 15:40:37.407,,,,,,,,,,,,,,2018-06-15 23:13:43.013,,-2300.00
11,600867751,0d894af2-95d4-4272-b337-c2ffe2e7af7b,2018-04-02 14:31:08.191,2018-04-02 14:31:08.191,2018-04-02,2018-04-02,,49,Resource,51510,e3e99c90-315b-0132-b9b6-0c4de9a9d1cb,d7b37d4a-32b4-488e-89a3-0d5a2de9d7d1,,,AnywhereReservation,89,,True,1.50,,,2018-04-02 14:31:08.181,,,,,,,2018-04-02 14:31:08.191,,,,,,,2018-06-15 23:13:42.762,,25.00
12,600873572,b7ae1838-ccfb-4881-a084-be1fa232c32e,2018-04-03 20:58:18.601,2018-04-03 20:58:18.601,2018-05-01,,,51,Resource,141943,82e675f0-3864-0132-4656-38e85631d6e6,d6b72d8c-7fb1-473b-a498-4a1744a76a1f,,,AnywhereReservation,75,,False,1.00,,,,,,,,,,2018-04-03 20:58:18.601,,,,,,,2018-06-15 23:13:43.080,,50.00
13,600871433,f6ccf0d9-9a83-407a-beca-8b22d4139efb,2018-04-03 11:43:06.285,2018-04-03 11:43:06.285,2018-04-03,,,600003405,Desk,141774,49627082-d3b7-4761-ba51-67861e7807d3,81cf03f0-46a2-4c1a-bb4a-36f26d627a81,,,AnywhereReservation,158,,False,1.00,,,,,,,,,,2018-04-03 11:43:06.285,,,,,,,2018-06-15 23:13:42.953,HD119,385.00
14,600866644,727e87cb-c474-4ddc-906b-eefde9cffa20,2018-04-01 20:13:32.013,2018-04-01 20:13:32.013,2018-04-01,2018-04-01,,111,Resource,102390,39cf7a9b-9cf3-4d63-8f97-4be80a51a976,2c533e70-8c71-0135-8e13-0242ac116713,,,TransientReservation,85,600866642.0,True,1.00,,,2018-04-01 20:13:31.999,,,,,,,2018-04-01 20:13:32.013,,,,,,,2018-06-15 23:13:42.729,,-18.00
15,600873281,b8de2b5e-000f-44e3-ad0b-d53960d8920e,2018-04-03 19:30:09.149,2018-04-03 19:30:09.149,2018-12-01,2018-12-31,,14,Resource,41246,fbbfc870-8e96-0130-e5b8-160ad023c11e,b9757ba0-0332-0134-95e5-0646935204aa,,,DiscountReservation,10,600873272.0,False,1.00,,,2018-04-03 19:30:09.138,,,,,,,2018-04-03 19:30:09.149,,,,,,,2018-06-15 23:13:43.063,,-560.00
16,600868054,cd094ed3-3946-43ff-b117-69425e37fc1e,2018-04-02 15:48:09.146,2018-06-08 18:32:41.038,2019-03-01,2019-03-31,,14,Resource,13947,fbbfc870-8e96-0130-e5b8-160ad023c11e,fa56ae3f-d488-4b68-bb24-0af76be26d61,,,DiscountReservation,82,,False,1.00,,2018-06-08 18:32:41.019000,2018-04-02 15:48:09.134,,,,,,,2018-06-08 18:32:41.038,,,,,,,2018-06-15 23:13:42.779,,-256.00
17,600872639,eb737433-9f21-4799-b766-d67b7cb7e436,2018-04-03 16:43:20.720,2018-04-03 16:43:21.855,2018-04-01,2018-04-01,,15,Resource,92659,fbc34350-8e96-0130-e5b8-160ad023c11e,23e75c10-c358-4375-8752-fd1214f5e843,,,Reservation,73,600593341.0,True,,,,2018-04-03 16:43:20.706,,,,,,,,,,,,,,2018-06-15 23:13:43.030,,-975.00
18,600868347,3b131347-1ae3-4e35-9423-839d649aacfe,2018-04-02 16:35:36.925,2018-05-14 16:13:15.538,2018-04-02,2018-05-31,,42,Resource,141503,bc921830-09d7-0132-ea24-360f514fdfc5,7042f617-0ff3-426e-8599-38e0f3f5ddd4,,,AnywhereReservation,195,,False,1.00,,,2018-05-14 16:13:15.485,,,,,,,2018-05-14 16:13:15.538,,,,,,,2018-06-15 23:13:42.796,,-90.00
19,600869850,616678eb-7b1d-4de2-a974-896746d09b60,2018-04-02 22:30:00.522,2018-04-30 17:47:48.939,2018-08-01,2018-08-31,,14,Resource,100427,fbbfc870-8e96-0130-e5b8-160ad023c11e,8fbccb9a-e51b-44be-ae32-7b64563b6f44,,,DiscountReservation,178,600869846.0,False,1.00,,2018-04-30 17:47:48.901000,2018-04-02 22:30:00.513,,,,,,,2018-04-30 17:47:48.939,,,,,,,2018-06-15 23:13:42.886,,-213000.00
20,600870988,a859d0de-3de5-41c9-9db5-4d624ef7025e,2018-04-03 08:24:45.834,2018-04-03 08:24:45.834,2018-04-03,2018-06-30,,42,Resource,141740,bc921830-09d7-0132-ea24-360f514fdfc5,5afe64a7-8d2a-4cd9-9cf5-155a50cade7c,,,AnywhereReservation,91,,False,1.00,,,2018-04-03 08:24:45.815,,,,,,,2018-04-03 08:24:45.834,,,,,,,2018-06-15 23:13:42.936,,-240.00
21,600869266,8da02182-6469-417b-b33f-5a29821b9f5d,2018-04-02 20:05:34.347,2018-04-02 20:05:34.347,2018-04-02,2018-04-02,,20,Resource,95879,fbd93ac0-8e96-0130-e5b8-160ad023c11e,4f828065-f520-472d-807b-77680bad27d3,,,Reservation,19,,True,1.00,,,2018-04-02 20:05:34.320,,,,,,,,,,,,,,2018-06-15 23:13:42.853,,25.00
22,600866815,59ee71ab-c473-4eb9-b8f6-65bdb2a1481d,2018-04-02 02:32:14.646,2018-06-15 03:28:07.556,2018-04-02,2018-06-30,,600000313,Space,85740,116a46d1-c036-4721-a3c7-cf6769d305ff,6e0cb0de-7c2b-4bab-9f43-52d364c83dcd,External Transfer,Move Out,PrimaryReservation,147,,False,1.00,,,2018-06-15 03:28:07.517,Normal,,,,,,2018-06-15 03:28:07.556,,2018-06-15 03:28:07.374000,2018-04-02 02:33:04.201,,2019-05-01,0.04,2018-06-15 23:08:28.758,07-163,10500.00
23,600867204,d15421f0-5260-493c-b6fd-082fbac0c94a,2018-04-02 09:14:36.064,2018-04-02 09:14:36.064,2019-02-01,2019-02-28,,14,Resource,141383,fbbfc870-8e96-0130-e5b8-160ad023c11e,3766b3ef-0066-4694-bfe9-8f482d4ee0bb,,,DiscountReservation,324,,False,1.00,,,2018-04-02 09:14:36.053,,,,,,,2018-04-02 09:14:36.064,,,,,,,2018-06-15 23:08:28.774,,-20100000.00
24,600870700,e5dc5adc-dbc0-4794-b9ac-29974e0d71ba,2018-04-03 06:03:58.109,2018-04-03 06:03:58.109,2018-05-01,2019-04-30,,14,Resource,67053,fbbfc870-8e96-0130-e5b8-160ad023c11e,d9341e50-d150-0134-9f14-0242ac112c0a,,,Reservation,111,500017478.0,False,1.00,,,2018-04-03 06:03:58.065,,,,,,,2018-04-03 06:03:58.109,,,,,,,2018-06-15 23:08:28.790,,-94.50
25,600871877,ab10039d-3247-486f-a364-5ae637948307,2018-04-03 14:16:10.216,2018-04-24 04:15:48.267,2018-06-01,2018-06-30,,14,Resource,141807,fbbfc870-8e96-0130-e5b8-160ad023c11e,9f822940-1915-0136-07f8-0242ac116709,,,DiscountReservation,207,,False,1.00,,2018-04-24 04:15:48.249000,2018-04-03 14:16:10.203,,,,,,,2018-04-24 04:15:48.267,,,,,,,2018-06-15 23:14:20.562,,-3000.00
26,600870848,e5a6e60c-9783-4718-a06c-5706a81067b8,2018-04-03 07:22:23.974,2018-04-24 05:24:17.868,2018-05-01,2018-05-31,,1796,Desk,129874,af3d6bc0-3620-0132-a945-260d32bfe122,5fc9e820-ef31-0135-ae01-0242ac111c07,Internal Transfer,Move Out,PrimaryReservation,26,,False,1.00,,,2018-04-24 05:24:17.862,,,,,,,2018-04-24 05:24:17.868,,2018-04-24 05:24:17.758000,2018-05-01 00:09:43.001,,2019-05-01,0.03,2018-06-15 23:13:42.930,B1-DD-12,1400.00
27,600867113,b0f6764a-9d83-4110-9526-18ae1fc04826,2018-04-02 08:26:47.587,2018-04-02 08:26:47.587,2018-04-02,2018-04-02,,110,Resource,141380,5a13b596-39a0-4432-8690-05e9ffbb06e0,80109950-187d-0136-9ede-0242ac115108,,,TransientReservation,150,,True,0.00,,,2018-04-02 08:26:47.566,,,,,,,2018-04-02 08:26:47.587,,,,,,,2018-06-15 23:13:42.739,,0.00
28,600873751,8cbd0158-b4f1-48e4-84df-b8fd7548e6fe,2018-04-03 21:59:12.082,2018-04-05 21:27:03.923,2018-04-03,2018-04-03,,15,Resource,43970,fbc34350-8e96-0130-e5b8-160ad023c11e,ee43bfe4-ef84-42c6-9d6e-a8534fbc96c4,,,Reservation,65,600873750.0,True,,2018-04-05 21:27:03.854000,,2018-04-03 21:59:11.913,,,,,,,,,,,,,,2018-06-15 23:13:43.090,,3600.00
29,600866530,e9dac658-1c32-4f6b-a3c2-fbf19efbd0f3,2018-04-01 15:34:40.859,2018-04-01 15:34:40.859,2018-04-01,2018-04-01,,109,Resource,141288,ad0b8476-f3a1-413a-9c96-ed5871519fe2,1c821940-17f0-0136-d375-0242ac111507,,,TransientReservation,61,600866529.0,True,1.00,,,2018-04-01 15:34:40.847,,,,,,,2018-04-01 15:34:40.859,,,,,,,2018-06-15 23:13:42.722,,18.00
